-------------------------------G4_H
-------------------------------sigma-
### Fill Cross Sections for sigma- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  173       5.433      0.1122   2.992e-06       0.1122
  174       5.559      0.1119    3.19e-06       0.1119
  175       5.689      0.1116   3.391e-06       0.1116
  176       5.821      0.1114   3.659e-06       0.1114
  177       5.957      0.1111   3.938e-06       0.1111
  178       6.095      0.1108    4.22e-06       0.1108
  179       6.237      0.1105   4.506e-06       0.1105
  180       6.383      0.1102   4.795e-06       0.1102
  181       6.531        0.11   5.087e-06         0.11
  182       6.683      0.1097   5.383e-06       0.1097
  183       6.839      0.1094   5.717e-06       0.1094
  184       6.998      0.1091   6.064e-06       0.1091
  185       7.161      0.1088   6.415e-06       0.1088
  186       7.328      0.1085   6.771e-06       0.1085
  187       7.499      0.1082    7.13e-06       0.1082
  188       7.674      0.1078   7.494e-06       0.1079
  189       7.852      0.1075   7.858e-06       0.1075
  190       8.035      0.1072   8.212e-06       0.1072
  191       8.222      0.1069    8.57e-06       0.1069
  192       8.414      0.1066   8.932e-06       0.1066
  193        8.61      0.1062   9.299e-06       0.1062
  194        8.81      0.1059   9.669e-06       0.1059
  195       9.016      0.1056   1.003e-05       0.1056
  196       9.226      0.1052   1.033e-05       0.1052
  197       9.441      0.1049   1.063e-05       0.1049
  198       9.661      0.1048   1.093e-05       0.1048
  199       9.886      0.1046   1.124e-05       0.1046
  200       10.12      0.1044   1.155e-05       0.1044
  201       10.35      0.1042   1.182e-05       0.1042
  202       10.59       0.104   1.202e-05        0.104
  203       10.84      0.1039   1.222e-05       0.1039
  204       11.09      0.1037   1.243e-05       0.1037
  205       11.35      0.1035   1.264e-05       0.1035
  206       11.61      0.1033   1.284e-05       0.1033
  207       11.89      0.1031   1.294e-05       0.1031
  208       12.16      0.1029   1.304e-05       0.1029
  209       12.45      0.1027   1.314e-05       0.1027
  210       12.74      0.1025   1.325e-05       0.1025
  211       13.03      0.1023   1.335e-05       0.1023
  212       13.34      0.1021   1.336e-05       0.1021
  213       13.65      0.1019   1.338e-05       0.1019
  214       13.96      0.1017    1.34e-05       0.1017
  215       14.29      0.1014   1.342e-05       0.1015
  216       14.62      0.1012   1.341e-05       0.1012
  217       14.96       0.101   1.337e-05        0.101
  218       15.31      0.1008   1.332e-05       0.1008
  219       15.67      0.1006   1.327e-05       0.1006
  220       16.03      0.1003   1.323e-05       0.1004
  221       16.41      0.1001   1.314e-05       0.1001
  222       16.79     0.09893   1.306e-05      0.09894
  223       17.18     0.09687   1.296e-05      0.09688
  224       17.58     0.09478   1.287e-05      0.09479
  225       17.99     0.09266   1.277e-05      0.09268
  226       18.41     0.09052   1.265e-05      0.09054
  227       18.84     0.08836   1.253e-05      0.08837
  228       19.28     0.08617   1.241e-05      0.08618
  229       19.72     0.08395   1.229e-05      0.08397
  230       20.18     0.08171   1.215e-05      0.08172
  231       20.65     0.07944   1.202e-05      0.07945
  232       21.13     0.07715   1.188e-05      0.07716
  233       21.63     0.07482   1.174e-05      0.07483
  234       22.13     0.07247   1.159e-05      0.07248
  235       22.65     0.07009   1.145e-05      0.07011
  236       23.17     0.06769    1.13e-05       0.0677
  237       23.71     0.06525   1.115e-05      0.06526
  238       24.27     0.06279     1.1e-05       0.0628
  239       24.83     0.06029   1.085e-05       0.0603
  240       25.41     0.05777   1.069e-05      0.05778
  241          26     0.05571   1.054e-05      0.05572
  242       26.61     0.05477   1.039e-05      0.05478
  243       27.23     0.05382   1.023e-05      0.05383
  244       27.86     0.05286   1.008e-05      0.05287
  245       28.51     0.05189   9.931e-06       0.0519
  246       29.17      0.0509   9.777e-06      0.05091
  247       29.85      0.0499   9.627e-06      0.04991
  248       30.55     0.04889   9.477e-06       0.0489
  249       31.26     0.04787   9.325e-06      0.04788
  250       31.99     0.04684   9.176e-06      0.04685
  251       32.73     0.04579    9.03e-06       0.0458
  252        33.5     0.04473   8.882e-06      0.04474
  253       34.28     0.04366   8.736e-06      0.04367
  254       35.08     0.04258   8.594e-06      0.04259
  255       35.89     0.04148   8.449e-06      0.04149
  256       36.73     0.04037   8.309e-06      0.04038
  257       37.58     0.03939    8.17e-06      0.03939
  258       38.46     0.03846   8.031e-06      0.03847
  259       39.36     0.03753   7.896e-06      0.03753
  260       40.27     0.03658   7.763e-06      0.03659
  261       41.21     0.03562   7.628e-06      0.03563
  262       42.17     0.03465   9.813e-06      0.03466
  263       43.15     0.03367   1.213e-05      0.03368
  264       44.16     0.03267   3.408e-05      0.03271
  265       45.19     0.03167   0.0001008      0.03177
  266       46.24     0.03065   0.0001684      0.03082
  267       47.32     0.02962   0.0002404      0.02986
  268       48.42     0.02857   0.0003146      0.02889
  269       49.55     0.02752   0.0003909      0.02791
  270        50.7     0.02679   0.0004716      0.02726
  271       51.88     0.02637   0.0005533      0.02692
  272       53.09     0.02595   0.0006395      0.02659
  273       54.33     0.02552   0.0007275      0.02625
  274       55.59     0.02509   0.0008185      0.02591
  275       56.89     0.02465   0.0009126      0.02557
  276       58.21     0.02421    0.001009      0.02522
  277       59.57     0.02376    0.001108      0.02487
  278       60.95     0.02331    0.001209      0.02452
  279       62.37     0.02285    0.001315      0.02417
  280       63.83     0.02239    0.001421      0.02381
  281       65.31     0.02198    0.001531      0.02351
  282       66.83     0.02189    0.001642      0.02353
  283       68.39     0.02179    0.001756      0.02355
  284       69.98     0.02169    0.001872      0.02357
  285       71.61     0.02159     0.00199      0.02358
  286       73.28     0.02149    0.002109       0.0236
  287       74.99     0.02139    0.002231      0.02362
  288       76.74     0.02129    0.002354      0.02364
  289       78.52     0.02119    0.002478      0.02366
  290       80.35     0.02108    0.002604      0.02368
  291       82.22     0.02097     0.00273       0.0237
  292       84.14     0.02087    0.002858      0.02372
  293        86.1     0.02076    0.002986      0.02374
  294        88.1     0.02065    0.003115      0.02376
  295       90.16     0.02053    0.003244      0.02378
  296       92.26     0.02042    0.003373      0.02379
  297       94.41      0.0203    0.003502      0.02381
  298       96.61     0.02019     0.00363      0.02382
  299       98.86     0.02007    0.003759      0.02383
  300       101.2        0.02    0.003886      0.02389
  301       103.5        0.02    0.004013      0.02401
  302       105.9        0.02    0.004138      0.02414
  303       108.4        0.02    0.004262      0.02426
  304       110.9        0.02    0.004386      0.02439
  305       113.5        0.02    0.004506      0.02451
  306       116.1        0.02    0.004625      0.02462
  307       118.9        0.02    0.004743      0.02474
  308       121.6     0.01994    0.004857       0.0248
  309       124.5     0.01981    0.004969      0.02478
  310       127.4     0.01969     0.00508      0.02477
  311       130.3     0.01956    0.005186      0.02475
  312       133.4     0.01943    0.005291      0.02472
  313       136.5      0.0193    0.005394      0.02469
  314       139.6     0.01916    0.005493      0.02465
  315       142.9     0.01908    0.005589      0.02467
  316       146.2     0.01912    0.005682       0.0248
  317       149.6     0.01916    0.005774      0.02493
  318       153.1      0.0192    0.005861      0.02506
  319       156.7     0.01924    0.005946      0.02518
  320       160.3     0.01928    0.006028      0.02531
  321       164.1     0.01932    0.006108      0.02543
  322       167.9     0.01935    0.006185      0.02554
  323       171.8     0.01938     0.00626      0.02564
  324       175.8     0.01941    0.006333      0.02574
  325       179.9     0.01944    0.006403      0.02584
  326       184.1     0.01946    0.006472      0.02594
  327       188.4     0.01949     0.00654      0.02603
  328       192.8     0.01954    0.006606      0.02615
  329       197.2      0.0196     0.00667      0.02627
  330       201.8     0.01966    0.006735      0.02639
  331       206.5     0.01972    0.006798      0.02652
  332       211.3     0.01978    0.006862      0.02664
  333       216.3     0.01985    0.006925      0.02678
  334       221.3     0.01999    0.006989      0.02698
  335       226.5     0.02013    0.007054      0.02719
  336       231.7     0.02028    0.007121       0.0274
  337       237.1     0.02042    0.007188      0.02761
  338       242.7     0.02057    0.007258      0.02783
  339       248.3     0.02082     0.00733      0.02815
  340       254.1     0.02107    0.007404      0.02847
  341         260     0.02133    0.007482      0.02881
  342       266.1     0.02159    0.007562      0.02915
  343       272.3     0.02185    0.007647      0.02949
  344       278.6     0.02209    0.007735      0.02982
  345       285.1     0.02233    0.007827      0.03016
  346       291.7     0.02258    0.007924       0.0305
  347       298.5     0.02283    0.008026      0.03085
  348       305.5     0.02306    0.008133      0.03119
  349       312.6     0.02329    0.008246      0.03153
  350       319.9     0.02352    0.008363      0.03188
