-------------------------------G4_H
-------------------------------proton
### Fill Cross Sections for proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  258       38.46     0.07279           0      0.07279
  259       39.36     0.07107           0      0.07107
  260       40.27     0.06935           0      0.06935
  261       41.21     0.06762           0      0.06762
  262       42.17     0.06589           0      0.06589
  263       43.15     0.06417           0      0.06417
  264       44.16     0.06244           0      0.06244
  265       45.19     0.06071           0      0.06071
  266       46.24     0.05898           0      0.05898
  267       47.32     0.05725           0      0.05725
  268       48.42     0.05593           0      0.05593
  269       49.55     0.05467           0      0.05467
  270        50.7     0.05341           0      0.05341
  271       51.88     0.05215           0      0.05215
  272       53.09     0.05088           0      0.05088
  273       54.33     0.04962           0      0.04962
  274       55.59     0.04836           0      0.04836
  275       56.89     0.04709           0      0.04709
  276       58.21     0.04582           0      0.04582
  277       59.57     0.04456           0      0.04456
  278       60.95     0.04338           0      0.04338
  279       62.37     0.04249           0      0.04249
  280       63.83     0.04159           0      0.04159
  281       65.31      0.0407           0       0.0407
  282       66.83     0.03981           0      0.03981
  283       68.39     0.03891           0      0.03891
  284       69.98     0.03802           0      0.03802
  285       71.61     0.03713           0      0.03713
  286       73.28     0.03623           0      0.03623
  287       74.99     0.03533           0      0.03533
  288       76.74     0.03444           0      0.03444
  289       78.52     0.03374           0      0.03374
  290       80.35     0.03315           0      0.03315
  291       82.22     0.03255           0      0.03255
  292       84.14     0.03196           0      0.03196
  293        86.1     0.03136           0      0.03136
  294        88.1     0.03077           0      0.03077
  295       90.16     0.03017           0      0.03017
  296       92.26     0.02958           0      0.02958
  297       94.41     0.02898           0      0.02898
  298       96.61     0.02838           0      0.02838
  299       98.86     0.02783           0      0.02783
  300       101.2     0.02748           0      0.02748
  301       103.5     0.02713           0      0.02713
  302       105.9     0.02678           0      0.02678
  303       108.4     0.02643           0      0.02643
  304       110.9     0.02608           0      0.02608
  305       113.5     0.02573           0      0.02573
  306       116.1     0.02538           0      0.02538
  307       118.9     0.02503           0      0.02503
  308       121.6     0.02468           0      0.02468
  309       124.5     0.02433           0      0.02433
  310       127.4     0.02415           0      0.02415
  311       130.3       0.024           0        0.024
  312       133.4     0.02385           0      0.02385
  313       136.5      0.0237           0       0.0237
  314       139.6     0.02356           0      0.02356
  315       142.9     0.02341           0      0.02341
  316       146.2     0.02326           0      0.02326
  317       149.6     0.02311           0      0.02311
  318       153.1     0.02296           0      0.02296
  319       156.7     0.02282           0      0.02282
  320       160.3     0.02276           0      0.02276
  321       164.1     0.02277           0      0.02277
  322       167.9     0.02278           0      0.02278
  323       171.8     0.02279           0      0.02279
  324       175.8      0.0228           0       0.0228
  325       179.9      0.0228           0       0.0228
  326       184.1     0.02281           0      0.02281
  327       188.4     0.02282           0      0.02282
  328       192.8     0.02283           0      0.02283
  329       197.2     0.02284           0      0.02284
  330       201.8      0.0229           0       0.0229
  331       206.5     0.02301           0      0.02301
  332       211.3     0.02312           0      0.02312
  333       216.3     0.02322           0      0.02322
  334       221.3     0.02333           0      0.02333
  335       226.5     0.02344           0      0.02344
  336       231.7     0.02355           0      0.02355
  337       237.1     0.02366           0      0.02366
  338       242.7     0.02377           0      0.02377
  339       248.3     0.02388           0      0.02388
  340       254.1       0.024           0        0.024
  341         260     0.02414           0      0.02414
  342       266.1     0.02428           0      0.02428
  343       272.3     0.02442           0      0.02442
  344       278.6     0.02456           0      0.02456
  345       285.1     0.02469   2.169e-05      0.02472
