
-------------------------------G4_H
-------------------------------kaon-
### Fill Cross Sections for kaon- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  301       103.5     0.03923           0      0.03923
  302       105.9     0.03855           0      0.03855
  303       108.4     0.03786           0      0.03786
  304       110.9     0.03716           0      0.03716
  305       113.5     0.03658           0      0.03658
  306       116.1     0.03604           0      0.03604
  307       118.9     0.03549           0      0.03549
  308       121.6     0.03493           0      0.03493
  309       124.5     0.03436           0      0.03436
  310       127.4     0.03379           0      0.03379
  311       130.3      0.0332           0       0.0332
  312       133.4     0.03261           0      0.03261
  313       136.5     0.03201           0      0.03201
  314       139.6      0.0314           0       0.0314
  315       142.9     0.03081           0      0.03081
  316       146.2     0.03029           0      0.03029
  317       149.6     0.02975           0      0.02975
  318       153.1     0.02921           0      0.02921
  319       156.7     0.02866           0      0.02866
  320       160.3      0.0281           0       0.0281
  321       164.1     0.02754           0      0.02754
  322       167.9     0.02696           0      0.02696
  323       171.8     0.02638           0      0.02638
  324       175.8     0.02587           0      0.02587
  325       179.9     0.02551           0      0.02551
  326       184.1     0.02514           0      0.02514
  327       188.4     0.02476           0      0.02476
  328       192.8     0.02438           0      0.02438
  329       197.2       0.024           0        0.024
  330       201.8      0.0236           0       0.0236
  331       206.5     0.02321           0      0.02321
  332       211.3      0.0228           0       0.0228
  333       216.3     0.02239           0      0.02239
  334       221.3     0.02197           0      0.02197
  335       226.5     0.02154           0      0.02154
  336       231.7     0.02111           0      0.02111
  337       237.1     0.02067           0      0.02067
  338       242.7     0.02022           0      0.02022
  339       248.3     0.01976           0      0.01976
  340       254.1      0.0193   0.0003619      0.01966
  341         260     0.01883   0.0009636      0.01979
  342       266.1     0.01835    0.001557      0.01991
  343       272.3     0.01786    0.002142         0.02
  344       278.6     0.01737     0.00272      0.02009
  345       285.1     0.01693    0.003291      0.02022
  346       291.7     0.01667    0.003856      0.02053
  347       298.5     0.01641    0.004416      0.02083
  348       305.5     0.01615    0.004971      0.02112
  349       312.6     0.01588    0.005521       0.0214
  350       319.9      0.0156    0.006069      0.02167
  351       327.3     0.01538    0.006614      0.02199
  352         335     0.01519    0.007158      0.02235
  353       342.8       0.015    0.007702       0.0227
  354       350.8      0.0148    0.008245      0.02304
  355       358.9      0.0146    0.008791      0.02339
  356       367.3     0.01452    0.009339      0.02386
  357       375.8     0.01456    0.009892      0.02446
  358       384.6     0.01461     0.01045      0.02506
  359       393.6     0.01465     0.01101      0.02566
  360       402.7     0.01469     0.01159      0.02628
  361       412.1     0.01542     0.01217      0.02758
  362       421.7     0.01628     0.01276      0.02905
  363       431.5     0.01717     0.01337      0.03053
  364       441.6     0.01807     0.01398      0.03205
  365       451.9     0.01895     0.01461      0.03356
  366       462.4     0.01981     0.01526      0.03507
  367       473.2     0.02069     0.01591       0.0366
  368       484.2     0.02159     0.01658      0.03816
  369       495.5     0.02214     0.01725      0.03939
  370         507     0.02241     0.01792      0.04033
  371       518.8     0.02268     0.01859      0.04127
  372       530.9     0.02296     0.01923      0.04219
  373       543.3     0.02288     0.01985      0.04273
  374       555.9     0.02274     0.02042      0.04316
  375       568.9     0.02259     0.02093      0.04352
  376       582.1     0.02229     0.02136      0.04365
  377       595.7     0.02174     0.02169      0.04343
  378       609.5     0.02118     0.02191       0.0431
  379       623.7      0.0206     0.02202      0.04262
  380       638.3     0.01992     0.02201      0.04193
  381       653.1     0.01923      0.0219      0.04113
  382       668.3     0.01852     0.02169      0.04021
  383       683.9      0.0178     0.02141      0.03921
  384       699.8     0.01706     0.02108      0.03814
  385       716.1     0.01639     0.02071      0.03709
  386       732.8     0.01593     0.02032      0.03626
  387       749.9     0.01547     0.01994      0.03541
  388       767.4     0.01499     0.01957      0.03456
  389       785.2     0.01451     0.01923      0.03373
  390       803.5     0.01401     0.01891      0.03292
  391       822.2      0.0135     0.01862      0.03212
  392       841.4     0.01299     0.01836      0.03135
  393         861     0.01246     0.01813      0.03059
  394         881     0.01192     0.01793      0.02986
  395       901.6     0.01141     0.01776      0.02917
