-------------------------------G4_H
-------------------------------neutron
### Fill Cross Sections for neutron off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  329       197.2     0.04391           0      0.04391
  330       201.8     0.04345           0      0.04345
  331       206.5     0.04297           0      0.04297
  332       211.3     0.04249           0      0.04249
  333       216.3     0.04199           0      0.04199
  334       221.3     0.04148           0      0.04148
  335       226.5     0.04096           0      0.04096
  336       231.7     0.04043           0      0.04043
  337       237.1     0.03988           0      0.03988
  338       242.7     0.03934           0      0.03934
  339       248.3       0.039           0        0.039
  340       254.1     0.03866           0      0.03866
  341         260     0.03831           0      0.03831
  342       266.1     0.03795           0      0.03795
  343       272.3     0.03758           0      0.03758
  344       278.6     0.03721           0      0.03721
  345       285.1     0.03682    1.52e-05      0.03684
  346       291.7     0.03643   3.498e-05      0.03647
  347       298.5     0.03603   6.108e-05      0.03609
  348       305.5     0.03578   9.455e-05      0.03587
  349       312.6     0.03554   0.0001296      0.03567
  350       319.9     0.03529   0.0001697      0.03546
  351       327.3     0.03504   0.0002108      0.03525
  352         335     0.03478   0.0002585      0.03504
  353       342.8     0.03451   0.0003084      0.03482
  354       350.8     0.03424   0.0003643      0.03461
  355       358.9     0.03396   0.0004261      0.03439
  356       367.3     0.03368   0.0004919      0.03417
  357       375.8     0.03349   0.0005699      0.03406
  358       384.6     0.03332   0.0006498      0.03397
  359       393.6     0.03315   0.0007479       0.0339
  360       402.7     0.03298   0.0008505      0.03383
  361       412.1      0.0328   0.0009702      0.03377
  362       421.7     0.03262    0.001104      0.03372
  363       431.5     0.03243     0.00125      0.03368
  364       441.6     0.03224    0.001427      0.03367
  365       451.9     0.03204    0.001608      0.03365
  366       462.4     0.03189    0.001838      0.03373
  367       473.2     0.03176    0.002078      0.03383
  368       484.2     0.03162    0.002362      0.03398
  369       495.5     0.03148    0.002677      0.03415
  370         507     0.03134    0.003019      0.03435
  371       518.8     0.03119     0.00342      0.03461
  372       530.9     0.03104     0.00383      0.03487
  373       543.3     0.03089    0.004311       0.0352
  374       555.9     0.03073    0.004806      0.03553
  375       568.9     0.03054    0.005337      0.03587
  376       582.1     0.03031    0.005894      0.03621
  377       595.7     0.03008    0.006465      0.03655
  378       609.5     0.02985    0.007049       0.0369
  379       623.7     0.02961    0.007645      0.03725
  380       638.3     0.02936    0.008212      0.03757
  381       653.1     0.02911    0.008791       0.0379
  382       668.3     0.02885    0.009322      0.03817
  383       683.9     0.02859     0.00984      0.03843
  384       699.8     0.02832     0.01033      0.03865
  385       716.1     0.02806     0.01076      0.03883
  386       732.8      0.0278      0.0112        0.039
  387       749.9     0.02753     0.01156      0.03909
  388       767.4     0.02725     0.01193      0.03918
  389       785.2     0.02696     0.01225      0.03922
  390       803.5     0.02667     0.01257      0.03924
  391       822.2     0.02637     0.01288      0.03925
  392       841.4     0.02607     0.01318      0.03924
  393         861     0.02577     0.01348      0.03925
  394         881     0.02551     0.01377      0.03928
  395       901.6     0.02524     0.01406      0.03931
  396       922.6     0.02497     0.01436      0.03933
  397       944.1     0.02468     0.01466      0.03934
  398       966.1      0.0244     0.01496      0.03936
  399       988.6      0.0241     0.01526      0.03936
  400        1012      0.0238     0.01556      0.03936
  401        1035     0.02349     0.01584      0.03934
  402        1059     0.02321     0.01614      0.03935
  403        1084     0.02311      0.0164      0.03952
  404        1109     0.02301     0.01667      0.03968
  405        1135     0.02291     0.01691      0.03982
  406        1161      0.0228     0.01714      0.03994
  407        1189      0.0227     0.01735      0.04005
  408        1216     0.02259     0.01752      0.04011
  409        1245     0.02247      0.0177      0.04017
  410        1274     0.02236     0.01786      0.04022
  411        1303     0.02224     0.01803      0.04027
  412        1334     0.02223      0.0183      0.04052
  413        1365     0.02221     0.01863      0.04084
  414        1396      0.0222     0.01897      0.04117
  415        1429     0.02218     0.01929      0.04147
  416        1462     0.02217     0.01962      0.04179
  417        1496     0.02215     0.01993      0.04208
  418        1531     0.02213     0.02025      0.04238
  419        1567     0.02212     0.02056      0.04268
  420        1603      0.0221     0.02086      0.04296
  421        1641     0.02208     0.02117      0.04325
  422        1679     0.02207     0.02146      0.04352
  423        1718     0.02205     0.02175       0.0438
  424        1758     0.02203     0.02203      0.04406
  425        1799     0.02202     0.02231      0.04432
  426        1841       0.022     0.02258      0.04458
  427        1884     0.02198     0.02284      0.04482
  428        1928     0.02196      0.0231      0.04507
  429        1972     0.02194     0.02336       0.0453
  430        2018     0.02193     0.02361      0.04554
  431        2065     0.02191     0.02385      0.04576
  432        2113     0.02189     0.02409      0.04598
  433        2163     0.02188     0.02431      0.04619
  434        2213     0.02186     0.02454       0.0464
  435        2265     0.02184     0.02476       0.0466
  436        2317     0.02182     0.02497      0.04679
  437        2371      0.0218     0.02518      0.04699
  438        2427     0.02179     0.02538      0.04716
  439        2483     0.02177     0.02558      0.04734
  440        2541     0.02175     0.02576      0.04751
  441        2600     0.02173     0.02595      0.04768
  442        2661     0.02172     0.02613      0.04784
  443        2723      0.0217      0.0263        0.048
  444        2786     0.02168     0.02647      0.04815
  445        2851     0.02166     0.02663      0.04829
  446        2917     0.02164     0.02679      0.04843
  447        2985     0.02162     0.02694      0.04856
  448        3055      0.0216     0.02708      0.04869
  449        3126     0.02159     0.02723      0.04881
  450        3199     0.02157     0.02736      0.04893
  451        3273     0.02155      0.0275      0.04905
  452        3350     0.02153     0.02762      0.04915
  453        3428     0.02151     0.02775      0.04926
  454        3508      0.0215     0.02786      0.04936
  455        3589     0.02148     0.02798      0.04945
  456        3673     0.02146     0.02809      0.04954
  457        3758     0.02144     0.02819      0.04963
  458        3846     0.02142     0.02829      0.04972
  459        3936      0.0214     0.02839      0.04979
  460        4027     0.02139     0.02849      0.04987
  461        4121     0.02137     0.02857      0.04994
  462        4217     0.02135     0.02866      0.05001
  463        4315     0.02133     0.02874      0.05007
  464        4416     0.02131     0.02882      0.05013
  465        4519     0.02129     0.02889      0.05019
  466        4624     0.02127     0.02896      0.05024
  467        4732     0.02126     0.02903      0.05029
  468        4842     0.02124      0.0291      0.05034
  469        4955     0.02123     0.02916      0.05039
  470        5070     0.02121     0.02918      0.05038
  471        5188     0.02119     0.02917      0.05036
  472        5309     0.02117     0.02915      0.05033
  473        5433     0.02115     0.02914      0.05029
  474        5559     0.02114     0.02913      0.05026
  475        5689     0.02112     0.02911      0.05023
  476        5821      0.0211      0.0291       0.0502
