# FILE_NAME
# REACTION
# BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
# NUMBER_OF_DATA_POINTS
# POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
#  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
# -------------------------------------------------------------------------------------------------------
# GAMMAP_TOTAL.DAT
# GAMMA P --> X
# 0.          0.938270      0.            0
# 319
 1    0.18800    0.18800    0.18800    7.8800E-02 4.1E-02 4.1E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 75   1.06200    1.06200    1.06200    0.24160    1.7E-02 1.7E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 76   1.06500    1.06500    1.06500    0.19170    5.0E-03 5.0E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 77   1.08900    1.08900    1.08900    0.23240    1.8E-02 1.8E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 78   1.09000    1.09000    1.09000    0.19110    5.0E-03 5.0E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 79   1.11500    1.11500    1.11500    0.17470    5.0E-03 5.0E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 80   1.11700    1.11700    1.11700    0.22380    1.6E-02 1.6E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 81   1.14000    1.14000    1.14000    0.16500    4.8E-03 4.8E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 82   1.14400    1.14400    1.14400    0.20790    1.5E-02 1.5E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 83   1.15000    1.15000    1.15000    0.18210    7.8E-03 7.8E-03    1.2  1.2  MEYER 70         PL 33B, 189
 84   1.16500    1.16500    1.16500    0.15870    4.9E-03 4.9E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 85   1.17200    1.17200    1.17200    0.15930    1.7E-02 1.7E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 86   1.19000    1.19000    1.19000    0.16220    5.0E-03 5.0E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 87   1.20000    1.20000    1.20000    0.18410    1.8E-02 1.8E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 88   1.21500    1.21500    1.21500    0.14960    4.8E-03 4.8E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 89   1.22900    1.22900    1.22900    0.17530    1.5E-02 1.5E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 90   1.24000    1.24000    1.24000    0.14860    5.0E-03 5.0E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
 91   1.25800    1.25800    1.25800    0.15260    1.5E-02 1.5E-02    8.0  8.0  BLOOM 69         SLAC-PUB-0653
 92   1.26500    1.26500    1.26500    0.14380    4.9E-03 4.9E-03    3.4  3.4  ARMSTRONG 72     PR D5, 1640
