-------------------------------G4_H
-------------------------------anti_proton
### Fill Cross Sections for anti_proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  216       14.62     0.06616      0.2564       0.3225
  217       14.96     0.06543      0.2542       0.3196
  218       15.31     0.06471      0.2521       0.3168
  219       15.67       0.064      0.2499       0.3139
  220       16.03     0.06329      0.2478       0.3111
  221       16.41      0.0626      0.2458       0.3084
  222       16.79     0.06191      0.2437       0.3056
  223       17.18     0.06123      0.2417       0.3029
  224       17.58     0.06055      0.2396       0.3002
  225       17.99     0.05989      0.2377       0.2975
  226       18.41     0.05923      0.2357       0.2949
  227       18.84     0.05857      0.2337       0.2923
  228       19.28     0.05793      0.2318       0.2897
  229       19.72     0.05729      0.2299       0.2872
  230       20.18     0.05666       0.228       0.2846
  231       20.65     0.05604      0.2261       0.2822
  232       21.13     0.05542      0.2243       0.2797
  233       21.63     0.05481      0.2224       0.2772
  234       22.13     0.05421      0.2206       0.2748
  235       22.65     0.05361      0.2188       0.2724
  236       23.17     0.05302       0.217       0.2701
  237       23.71     0.05244      0.2153       0.2677
  238       24.27     0.05187      0.2135       0.2654
  239       24.83      0.0513      0.2118       0.2631
  240       25.41     0.05073      0.2101       0.2608
  241          26     0.05018      0.2084       0.2586
  242       26.61     0.04963      0.2067       0.2564
  243       27.23     0.04908      0.2051       0.2542
  244       27.86     0.04854      0.2035        0.252
  245       28.51     0.04801      0.2018       0.2499
  246       29.17     0.04749      0.2002       0.2477
  247       29.85     0.04697      0.1987       0.2456
  248       30.55     0.04645      0.1971       0.2435
  249       31.26     0.04595      0.1955       0.2415
  250       31.99     0.04545       0.194       0.2394
  251       32.73     0.04495      0.1925       0.2374
  252        33.5     0.04446       0.191       0.2354
  253       34.28     0.04398      0.1895       0.2335
  254       35.08      0.0435       0.188       0.2315
  255       35.89     0.04302      0.1866       0.2296
  256       36.73     0.04256      0.1851       0.2277
  257       37.58      0.0421      0.1837       0.2258
  258       38.46     0.04164      0.1823       0.2239
  259       39.36     0.04119      0.1809       0.2221
  260       40.27     0.04074      0.1795       0.2202
  261       41.21      0.0403      0.1781       0.2184
  262       42.17     0.03987      0.1768       0.2166
  263       43.15     0.03944      0.1754       0.2149
  264       44.16     0.03901      0.1741       0.2131
  265       45.19     0.03859      0.1728       0.2114
  266       46.24     0.03818      0.1715       0.2097
  267       47.32     0.03777      0.1702        0.208
  268       48.42     0.03737      0.1689       0.2063
  269       49.55     0.03697      0.1677       0.2047
  270        50.7     0.03657      0.1664        0.203
  271       51.88     0.03618      0.1652       0.2014
  272       53.09      0.0358       0.164       0.1998
  273       54.33     0.03542      0.1628       0.1982
  274       55.59     0.03504      0.1616       0.1967
  275       56.89     0.03467      0.1604       0.1951
  276       58.21     0.03431      0.1593       0.1936
  277       59.57     0.03395      0.1581       0.1921
  278       60.95     0.03359       0.157       0.1906
  279       62.37     0.03324      0.1558       0.1891
  280       63.83     0.03289      0.1547       0.1876
  281       65.31     0.03254      0.1536       0.1862
  282       66.83     0.03221      0.1525       0.1847
  283       68.39     0.03187      0.1514       0.1833
  284       69.98     0.03154      0.1504       0.1819
  285       71.61     0.03121      0.1493       0.1805
  286       73.28     0.03089      0.1483       0.1792
  287       74.99     0.03057      0.1472       0.1778
  288       76.74     0.03026      0.1462       0.1765
  289       78.52     0.02995      0.1452       0.1751
  290       80.35     0.02964      0.1442       0.1738
  291       82.22     0.02934      0.1432       0.1725
  292       84.14     0.02904      0.1422       0.1713
  293        86.1     0.02874      0.1413         0.17
  294        88.1     0.02845      0.1403       0.1687
  295       90.16     0.02817      0.1393       0.1675
  296       92.26     0.02788      0.1384       0.1663
  297       94.41      0.0276      0.1375       0.1651
  298       96.61     0.02733      0.1366       0.1639
  299       98.86     0.02705      0.1357       0.1627
  300       101.2     0.02678      0.1348       0.1615
  301       103.5     0.02652      0.1339       0.1604
  302       105.9     0.02626       0.133       0.1592
  303       108.4       0.026      0.1321       0.1581
  304       110.9     0.02574      0.1313        0.157
  305       113.5     0.02549      0.1304       0.1559
  306       116.1     0.02524      0.1296       0.1548
  307       118.9     0.02499      0.1287       0.1537
  308       121.6     0.02475      0.1279       0.1527
  309       124.5     0.02451      0.1271       0.1516
  310       127.4     0.02428      0.1263       0.1506
  311       130.3     0.02404      0.1255       0.1495
  312       133.4     0.02381      0.1247       0.1485
  313       136.5     0.02358      0.1239       0.1475
  314       139.6     0.02336      0.1232       0.1465
  315       142.9     0.02314      0.1224       0.1455
  316       146.2     0.02292      0.1217       0.1446
  317       149.6      0.0227      0.1209       0.1436
  318       153.1     0.02249      0.1202       0.1427
  319       156.7     0.02228      0.1194       0.1417
  320       160.3     0.02207      0.1187       0.1408
  321       164.1     0.02187       0.118       0.1399
  322       167.9     0.02166      0.1173        0.139
  323       171.8     0.02146      0.1166       0.1381
  324       175.8     0.02127      0.1159       0.1372
  325       179.9     0.02107      0.1152       0.1363
  326       184.1     0.02088      0.1146       0.1354
  327       188.4     0.02069      0.1139       0.1346
  328       192.8      0.0205      0.1132       0.1337
  329       197.2     0.02032      0.1126       0.1329
  330       201.8     0.02013      0.1119       0.1321
  331       206.5     0.01995      0.1113       0.1312
  332       211.3     0.01977      0.1107       0.1304
  333       216.3      0.0196        0.11       0.1296
  334       221.3     0.01942      0.1094       0.1288
  335       226.5     0.01925      0.1088        0.128
  336       231.7     0.01908      0.1082       0.1273
  337       237.1     0.01891      0.1076       0.1265
  338       242.7     0.01874       0.107       0.1257
  339       248.3     0.01858      0.1064        0.125
  340       254.1     0.01842      0.1058       0.1242
  341         260     0.01825      0.1052       0.1235
  342       266.1     0.01809      0.1047       0.1228
  343       272.3     0.01794      0.1041        0.122
  344       278.6     0.01778      0.1035       0.1213
  345       285.1     0.01763       0.103       0.1206
  346       291.7     0.01748      0.1024       0.1199
  347       298.5     0.01732      0.1019       0.1192
  348       305.5     0.01718      0.1014       0.1185
  349       312.6     0.01703      0.1008       0.1178
  350       319.9     0.01688      0.1003       0.1172
  351       327.3     0.01674     0.09976       0.1165
  352         335     0.01659     0.09924       0.1158
  353       342.8     0.01645     0.09872       0.1152
  354       350.8     0.01631     0.09821       0.1145
  355       358.9     0.01617      0.0977       0.1139
  356       367.3     0.01603      0.0972       0.1132
  357       375.8      0.0159      0.0967       0.1126
  358       384.6     0.01576      0.0962        0.112
  359       393.6     0.01563     0.09571       0.1113
  360       402.7     0.01549     0.09522       0.1107
  361       412.1     0.01536     0.09474       0.1101
  362       421.7     0.01523     0.09426       0.1095
  363       431.5      0.0151     0.09378       0.1089
  364       441.6     0.01497      0.0933       0.1083
  365       451.9     0.01484     0.09283       0.1077
  366       462.4     0.01471     0.09236       0.1071
  367       473.2     0.01459      0.0919       0.1065
  368       484.2     0.01446     0.09143       0.1059
  369       495.5     0.01434     0.09097       0.1053
  370         507     0.01421     0.09052       0.1047
  371       518.8     0.01409     0.09005       0.1041
  372       530.9     0.01397     0.08961       0.1036
  373       543.3     0.01385     0.08916        0.103
  374       555.9     0.01373     0.08872       0.1025
  375       568.9     0.01361     0.08828       0.1019
  376       582.1     0.01349     0.08785       0.1013
  377       595.7     0.01338     0.08741       0.1008
  378       609.5     0.01326     0.08698       0.1002
  379       623.7     0.01314     0.08654      0.09969
  380       638.3     0.01303     0.08611      0.09914
  381       653.1     0.01291     0.08568       0.0986
  382       668.3      0.0128     0.08526      0.09805
  383       683.9     0.01268     0.08483      0.09751
  384       699.8     0.01257      0.0844      0.09698
  385       716.1     0.01246     0.08398      0.09644
  386       732.8     0.01235     0.08356      0.09591
  387       749.9     0.01223     0.08314      0.09537
