.-------------------------------G4_H
-------------------------------pi-
### Fill Cross Sections for pi- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  288       76.74    0.003282     0.01265      0.01593
  289       78.52    0.003425     0.01317       0.0166
  290       80.35    0.003581     0.01371      0.01729
  291       82.22    0.003751     0.01426      0.01801
  292       84.14    0.003936     0.01481      0.01875
  293        86.1    0.004137     0.01538      0.01951
  294        88.1    0.004356     0.01595      0.02031
  295       90.16    0.004594     0.01654      0.02113
  296       92.26    0.004853     0.01713      0.02199
  297       94.41    0.005135     0.01774      0.02288
  298       96.61    0.005441     0.01836       0.0238
  299       98.86    0.005773     0.01899      0.02476
  300       101.2    0.006133     0.01963      0.02576
  301       103.5    0.006524     0.02028       0.0268
  302       105.9    0.006948     0.02113      0.02808
  303       108.4    0.007409     0.02208      0.02949
  304       110.9     0.00791     0.02306      0.03097
  305       113.5    0.008452     0.02405      0.03251
  306       116.1    0.009038     0.02507       0.0341
  307       118.9    0.009668      0.0261      0.03576
  308       121.6     0.01034     0.02715      0.03749
  309       124.5     0.01107     0.02822      0.03928
  310       127.4     0.01183     0.02931      0.04114
  311       130.3     0.01264     0.03042      0.04306
  312       133.4     0.01349     0.03155      0.04504
  313       136.5     0.01437     0.03271      0.04707
  314       139.6     0.01527     0.03388      0.04915
  315       142.9     0.01619     0.03508      0.05127
  316       146.2     0.01711      0.0363      0.05342
  317       149.6     0.01802     0.03706      0.05508
  318       153.1     0.01889     0.03773      0.05662
  319       156.7      0.0197     0.03842      0.05812
  320       160.3     0.02043     0.03912      0.05956
  321       164.1     0.02105     0.03984      0.06089
  322       167.9     0.02155     0.04057      0.06212
  323       171.8     0.02192     0.04132      0.06323
  324       175.8     0.02214     0.04208      0.06421
  325       179.9     0.02221     0.04285      0.06506
  326       184.1     0.02212     0.04364      0.06576
  327       188.4     0.02189     0.04445      0.06634
  328       192.8     0.02152     0.04446      0.06598
  329       197.2     0.02104     0.04278      0.06382
  330       201.8     0.02047     0.04106      0.06153
  331       206.5     0.01982     0.03932      0.05913
  332       211.3     0.01911     0.03753      0.05664
  333       216.3     0.01837     0.03571      0.05408
  334       221.3     0.01761     0.03385      0.05146
  335       226.5     0.01684     0.03195      0.04879
  336       231.7     0.01608     0.03001       0.0461
  337       237.1     0.01535     0.02803      0.04338
  338       242.7     0.01464     0.02701      0.04165
  339       248.3     0.01396     0.02598      0.03994
  340       254.1     0.01333     0.02492      0.03825
  341         260     0.01274     0.02385      0.03659
  342       266.1     0.01219     0.02275      0.03495
  343       272.3      0.0117     0.02163      0.03333
  344       278.6     0.01126     0.02049      0.03174
  345       285.1     0.01087     0.01941      0.03028
  346       291.7     0.01054     0.01885      0.02939
  347       298.5     0.01027     0.01828      0.02854
  348       305.5     0.01005     0.01769      0.02774
  349       312.6    0.009894     0.01709      0.02699
  350       319.9    0.009797     0.01648      0.02628
  351       327.3    0.009759     0.01586      0.02561
  352         335    0.009777     0.01541      0.02518
  353       342.8    0.009846      0.0152      0.02504
  354       350.8    0.009961     0.01498      0.02494
  355       358.9     0.01011     0.01476      0.02487
  356       367.3     0.01029     0.01453      0.02482
  357       375.8     0.01049      0.0143      0.02479
  358       384.6     0.01068     0.01434      0.02502
  359       393.6     0.01088     0.01458      0.02545
  360       402.7     0.01106     0.01482      0.02588
  361       412.1     0.01122     0.01508       0.0263
  362       421.7     0.01137     0.01533       0.0267
  363       431.5     0.01151     0.01565      0.02716
  364       441.6     0.01165     0.01607      0.02772
  365       451.9      0.0118     0.01649      0.02829
  366       462.4     0.01198     0.01692       0.0289
  367       473.2      0.0122     0.01736      0.02956
  368       484.2     0.01248      0.0179      0.03038
  369       495.5     0.01286     0.01847      0.03133
  370         507     0.01334     0.01907      0.03241
  371       518.8     0.01398     0.01967      0.03365
  372       530.9      0.0148     0.02035      0.03514
  373       543.3     0.01583      0.0211      0.03693
  374       555.9     0.01747     0.02188      0.03935
  375       568.9     0.01867     0.02267      0.04134
  376       582.1     0.01943     0.02348      0.04291
  377       595.7     0.01974     0.02431      0.04405
  378       609.5     0.01949     0.02516      0.04465
  379       623.7     0.01869     0.02595      0.04464
  380       638.3     0.01753     0.02417       0.0417
  381       653.1     0.01624     0.02236       0.0386
  382       668.3     0.01504     0.02051      0.03555
  383       683.9     0.01408     0.02069      0.03477
  384       699.8     0.01345     0.02166      0.03511
  385       716.1     0.01319     0.02266      0.03585
  386       732.8     0.01335     0.02378      0.03713
  387       749.9     0.01396     0.02499      0.03895
  388       767.4     0.01505     0.02623      0.04128
  389       785.2      0.0167     0.02806      0.04477
  390       803.5     0.01894      0.0301      0.04904
  391       822.2     0.02156      0.0321      0.05365
  392       841.4     0.02396     0.03326      0.05722
  393         861     0.02544     0.03445      0.05988
  394         881      0.0256     0.03428      0.05989
  395       901.6     0.02456     0.03294       0.0575
  396       922.6     0.02275     0.03156      0.05431
  397       944.1     0.02068     0.03015      0.05083
  398       966.1     0.01872     0.02871      0.04743
  399       988.6     0.01712     0.02724      0.04435
  400        1012     0.01577     0.02573       0.0415
  401        1035     0.01472     0.02418       0.0389
  402        1059     0.01394     0.02261      0.03654
  403        1084     0.01337     0.02208      0.03545
  404        1109     0.01297      0.0222      0.03517
  405        1135     0.01269     0.02233      0.03502
  406        1161     0.01249     0.02247      0.03495
  407        1189     0.01233     0.02271      0.03504
  408        1216     0.01219     0.02299      0.03518
  409        1245     0.01205     0.02327      0.03532
  410        1274     0.01189     0.02353      0.03542
  411        1303      0.0117     0.02368      0.03538
  412        1334      0.0115     0.02383      0.03533
  413        1365     0.01127     0.02399      0.03526
  414        1396     0.01105     0.02415       0.0352
  415        1429     0.01083     0.02431      0.03514
  416        1462     0.01063     0.02448       0.0351
  417        1496     0.01044     0.02472      0.03517
  418        1531     0.01028     0.02499      0.03526
  419        1567     0.01014     0.02525      0.03539
  420        1603     0.01002     0.02553      0.03554
  421        1641    0.009912     0.02581      0.03572
  422        1679    0.009824      0.0261      0.03592
  423        1718    0.009748     0.02639      0.03614
  424        1758    0.009681     0.02669      0.03637
  425        1799     0.00962       0.027      0.03662
  426        1841    0.009562     0.02732      0.03688
  427        1884    0.009502      0.0275        0.037
  428        1928    0.009437      0.0275      0.03694
  429        1972    0.009364      0.0275      0.03686
  430        2018    0.009281      0.0275      0.03678
  431        2065    0.009187      0.0275      0.03669
  432        2113    0.009082     0.02738      0.03646
  433        2163    0.008969     0.02725      0.03622
  434        2213    0.008851     0.02713      0.03598
  435        2265    0.008731       0.027      0.03573
  436        2317    0.008613     0.02687      0.03548
  437        2371    0.008503     0.02673      0.03523
  438        2427    0.008403     0.02659        0.035
  439        2483    0.008319     0.02641      0.03472
  440        2541    0.008254     0.02612      0.03437
  441        2600    0.008214     0.02582      0.03403
  442        2661    0.008186     0.02552       0.0337
  443        2723    0.008158     0.02535      0.03351
  444        2786     0.00813     0.02519      0.03332
  445        2851    0.008102     0.02503      0.03313
  446        2917    0.008074     0.02489      0.03297
  447        2985    0.008047     0.02476       0.0328
  448        3055     0.00802     0.02462      0.03264
  449        3126    0.007992     0.02447      0.03247
  450        3199    0.007965     0.02433      0.03229
  451        3273    0.007939     0.02418      0.03212
  452        3350    0.007912     0.02403      0.03194
  453        3428    0.007885     0.02387      0.03176
  454        3508    0.007859     0.02371      0.03157
  455        3589    0.007833     0.02355      0.03138
  456        3673    0.007807     0.02338      0.03119
  457        3758    0.007781     0.02321      0.03099
  458        3846    0.007755     0.02303      0.03079
  459        3936     0.00773     0.02296      0.03069
  460        4027    0.007705     0.02292      0.03062
  461        4121    0.007679     0.02287      0.03055
  462        4217    0.007655     0.02282      0.03048
  463        4315     0.00763     0.02277       0.0304
  464        4416    0.007605     0.02272      0.03033
  465        4519    0.007581     0.02267      0.03025
  466        4624    0.007557     0.02262      0.03018
  467        4732    0.007533     0.02257       0.0301
  468        4842    0.007509     0.02251      0.03002
  469        4955    0.007485     0.02247      0.02996
  470        5070    0.007462     0.02244       0.0299
  471        5188    0.007439      0.0224      0.02984
  472        5309    0.007416     0.02237      0.02978
  473        5433    0.007393     0.02233      0.02972
  474        5559     0.00737     0.02229      0.02966
  475        5689    0.007348     0.02225       0.0296
  476        5821    0.007325     0.02221      0.02954
  477        5957    0.007303     0.02219      0.02949
  478        6095    0.007282     0.02218      0.02946
  479        6237     0.00726     0.02216      0.02942
  480        6383    0.007239     0.02215      0.02939
  481        6531    0.007217     0.02213      0.02935
  482        6683    0.007196     0.02212      0.02931
  483        6839    0.007176      0.0221      0.02928
  484        6998    0.007155     0.02209      0.02924
  485        7161    0.007135     0.02207       0.0292
  486        7328    0.007114     0.02205      0.02917
  487        7499    0.007094     0.02204      0.02913
  488        7674    0.007075     0.02202      0.02909
  489        7852    0.007055       0.022      0.02906
  490        8035    0.007036       0.022      0.02904
  491        8222    0.007017       0.022      0.02902
  492        8414    0.006998       0.022        0.029
  493        8610    0.006979       0.022      0.02898
  494        8810     0.00696       0.022      0.02896
  495        9016    0.006942       0.022      0.02894
  496        9226    0.006924       0.022      0.02892
  497        9441    0.006906       0.022      0.02891
  498        9661    0.006889       0.022      0.02889
  499        9886    0.006871       0.022      0.02887
  500   1.012e+04    0.006854     0.02198      0.02883
  501   1.035e+04    0.006837     0.02196       0.0288
  502   1.059e+04     0.00682     0.02194      0.02876
  503   1.084e+04    0.006803     0.02192      0.02873
  504   1.109e+04    0.006787      0.0219      0.02869
  505   1.135e+04    0.006771     0.02188      0.02865
  506   1.161e+04    0.006755     0.02186      0.02861
  507   1.189e+04    0.006739     0.02184      0.02858
  508   1.216e+04    0.006723     0.02182      0.02854
  509   1.245e+04    0.006708     0.02179       0.0285
  510   1.274e+04    0.006693     0.02177      0.02846
  511   1.303e+04    0.006678     0.02175      0.02842
  512   1.334e+04    0.006663     0.02172      0.02838
  513   1.365e+04    0.006648      0.0217      0.02835
  514   1.396e+04    0.006634     0.02167      0.02831
  515   1.429e+04     0.00662     0.02165      0.02827
  516   1.462e+04    0.006606     0.02162      0.02822
