-------------------------------G4_H
-------------------------------kaon+
### Fill Cross Sections for kaon+ off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  458        3846    0.003844     0.01364      0.01748
  459        3936    0.003799     0.01366      0.01746
  460        4027    0.003753     0.01368      0.01744
  461        4121    0.003706     0.01371      0.01741
  462        4217    0.003658     0.01373      0.01739
  463        4315    0.003608     0.01375      0.01736
  464        4416    0.003558     0.01377      0.01733
  465        4519    0.003506     0.01379       0.0173
  466        4624    0.003481     0.01382       0.0173
  467        4732     0.00346     0.01384       0.0173
  468        4842    0.003437     0.01386       0.0173
  469        4955    0.003415     0.01388       0.0173
  470        5070    0.003392     0.01391       0.0173
  471        5188    0.003368     0.01393       0.0173
  472        5309    0.003344     0.01395      0.01729
  473        5433    0.003319     0.01397      0.01729
  474        5559    0.003297     0.01399      0.01729
  475        5689    0.003284     0.01402       0.0173
  476        5821     0.00327     0.01404      0.01731
  477        5957    0.003257     0.01406      0.01732
  478        6095    0.003243     0.01408      0.01733
  479        6237    0.003229      0.0141      0.01733
  480        6383    0.003214     0.01413      0.01734
  481        6531    0.003199     0.01415      0.01735
  482        6683    0.003184     0.01417      0.01735
  483        6839    0.003168     0.01419      0.01736
  484        6998    0.003152     0.01421      0.01737
  485        7161    0.003136     0.01424      0.01737
  486        7328    0.003119     0.01426      0.01738
  487        7499    0.003102     0.01428      0.01738
  488        7674      0.0031      0.0143       0.0174
  489        7852      0.0031     0.01432      0.01742
  490        8035      0.0031     0.01434      0.01744
  491        8222      0.0031     0.01436      0.01746
  492        8414      0.0031     0.01438      0.01748
  493        8610      0.0031     0.01441      0.01751
  494        8810      0.0031     0.01443      0.01753
  495        9016      0.0031     0.01445      0.01755
  496        9226      0.0031     0.01447      0.01757
  497        9441      0.0031     0.01449      0.01759
  498        9661    0.003099     0.01451      0.01761
  499        9886    0.003096     0.01453      0.01763
  500   1.012e+04    0.003094     0.01455      0.01764
  501   1.035e+04    0.003092     0.01457      0.01766
  502   1.059e+04    0.003089     0.01459      0.01768
  503   1.084e+04    0.003087     0.01461       0.0177
  504   1.109e+04    0.003084     0.01463      0.01772
  505   1.135e+04    0.003082     0.01465      0.01773
  506   1.161e+04    0.003079     0.01467      0.01775
  507   1.189e+04    0.003076     0.01469      0.01777
  508   1.216e+04    0.003074     0.01471      0.01778
  509   1.245e+04    0.003071     0.01473       0.0178
  510   1.274e+04    0.003068     0.01475      0.01782
  511   1.303e+04    0.003065     0.01477      0.01783
  512   1.334e+04    0.003062     0.01479      0.01785
  513   1.365e+04    0.003059     0.01481      0.01787
  514   1.396e+04    0.003056     0.01483      0.01788
  515   1.429e+04    0.003052     0.01485       0.0179
  516   1.462e+04    0.003049     0.01487      0.01792
  517   1.496e+04    0.003046     0.01489      0.01793
  518   1.531e+04    0.003042     0.01491      0.01795
  519   1.567e+04    0.003038     0.01492      0.01796
  520   1.603e+04    0.003035     0.01494      0.01798
  521   1.641e+04    0.003031     0.01496      0.01799
  522   1.679e+04    0.003027     0.01498      0.01801
  523   1.718e+04    0.003023       0.015      0.01802
  524   1.758e+04    0.003019     0.01502      0.01804
  525   1.799e+04    0.003015     0.01504      0.01805
  526   1.841e+04    0.003011     0.01506      0.01807
  527   1.884e+04    0.003007     0.01508      0.01808
  528   1.928e+04    0.003002     0.01509       0.0181
  529   1.972e+04    0.002999     0.01511      0.01811
  530   2.018e+04    0.002996     0.01513      0.01813
  531   2.065e+04    0.002993     0.01515      0.01814
  532   2.113e+04     0.00299     0.01517      0.01816
  533   2.163e+04    0.002987     0.01519      0.01818
  534   2.213e+04    0.002984     0.01521      0.01819
  535   2.265e+04     0.00298     0.01523      0.01821
  536   2.317e+04    0.002977     0.01524      0.01822
  537   2.371e+04    0.002974     0.01526      0.01824
  538   2.427e+04     0.00297     0.01528      0.01825
  539   2.483e+04    0.002967      0.0153      0.01827
  540   2.541e+04    0.002963     0.01532      0.01828
  541     2.6e+04    0.002959     0.01534       0.0183
  542   2.661e+04    0.002956     0.01536      0.01831
  543   2.723e+04    0.002952     0.01538      0.01833
  544   2.786e+04    0.002948     0.01539      0.01834
  545   2.851e+04    0.002944     0.01541      0.01836
  546   2.917e+04     0.00294     0.01543      0.01837
  547   2.985e+04    0.002935     0.01545      0.01839
  548   3.055e+04    0.002931     0.01547       0.0184
  549   3.126e+04    0.002927     0.01549      0.01841
  550   3.199e+04    0.002922     0.01551      0.01843
  551   3.273e+04    0.002917     0.01553      0.01844
  552    3.35e+04    0.002913     0.01554      0.01846
  553   3.428e+04    0.002908     0.01556      0.01847
  554   3.508e+04    0.002903     0.01558      0.01849
  555   3.589e+04    0.002898      0.0156       0.0185
  556   3.673e+04    0.002892     0.01562      0.01851
  557   3.758e+04    0.002887     0.01564      0.01853
  558   3.846e+04    0.002882     0.01566      0.01854
  559   3.936e+04    0.002876     0.01568      0.01855
  560   4.027e+04     0.00287      0.0157      0.01857
  561   4.121e+04    0.002864     0.01572      0.01858
  562   4.217e+04    0.002858     0.01574      0.01859
  563   4.315e+04    0.002852     0.01576      0.01861
  564   4.416e+04    0.002846     0.01578      0.01862
  565   4.519e+04     0.00284      0.0158      0.01863
  566   4.624e+04    0.002833     0.01581      0.01865
  567   4.732e+04    0.002826     0.01583      0.01866
  568   4.842e+04    0.002819     0.01585      0.01867
  569   4.955e+04    0.002812     0.01587      0.01869
  570    5.07e+04    0.002805     0.01589       0.0187
  571   5.188e+04    0.002798     0.01591      0.01871
  572   5.309e+04     0.00279     0.01593      0.01872
  573   5.433e+04    0.002782     0.01595      0.01874
  574   5.559e+04    0.002774     0.01597      0.01875
  575   5.689e+04    0.002766       0.016      0.01876
  576   5.821e+04    0.002758     0.01602      0.01877
  577   5.957e+04     0.00275     0.01604      0.01879
  578   6.095e+04    0.002741     0.01606       0.0188
  579   6.237e+04    0.002732     0.01608      0.01881
  580   6.383e+04    0.002723      0.0161      0.01882
  581   6.531e+04    0.002714     0.01612      0.01883
  582   6.683e+04    0.002704     0.01614      0.01884
  583   6.839e+04    0.002694     0.01616      0.01886
  584   6.998e+04    0.002685     0.01618      0.01887
  585   7.161e+04    0.002674      0.0162      0.01888
  586   7.328e+04    0.002664     0.01623      0.01889
  587   7.499e+04    0.002653     0.01625       0.0189
  588   7.674e+04    0.002642     0.01627      0.01891
  589   7.852e+04    0.002631     0.01629      0.01892
  590   8.035e+04     0.00262     0.01631      0.01893
  591   8.222e+04    0.002608     0.01633      0.01894
  592   8.414e+04    0.002596     0.01636      0.01895
  593    8.61e+04    0.002584     0.01638      0.01896
  594    8.81e+04    0.002571      0.0164      0.01897
  595   9.016e+04    0.002558     0.01642      0.01898
  596   9.226e+04    0.002545     0.01645      0.01899
  597   9.441e+04    0.002532     0.01647        0.019
  598   9.661e+04    0.002518     0.01649      0.01901
  599   9.886e+04    0.002504     0.01652      0.01902
  600   1.012e+05    0.002505     0.01654      0.01904
  601   1.035e+05    0.002513     0.01656      0.01908
  602   1.059e+05     0.00252     0.01659      0.01911
  603   1.084e+05    0.002528     0.01661      0.01914
  604   1.109e+05    0.002536     0.01663      0.01917
  605   1.135e+05    0.002543     0.01666       0.0192
  606   1.161e+05    0.002551     0.01668      0.01923
  607   1.189e+05    0.002559     0.01671      0.01926
  608   1.216e+05    0.002567     0.01673       0.0193
  609   1.245e+05    0.002575     0.01675      0.01933
